"","hexid","variable","est","totpop","share","acc60","cum_pop","cum_acc"
"178",2379,"B03002_004",0,630.003088088665,0,0,0,0
"179",2380,"B03002_004",0,630.003088088507,0,0,0,0
"180",2381,"B03002_004",0,469.237894359145,0,0,0,0
"181",2382,"B03002_004",0,60.6879606430635,0,0,0,0
"182",2383,"B03002_004",0,60.6879606430737,0,0,0,0
"183",2384,"B03002_004",0,60.6879606430635,0,0,0,0
"184",2385,"B03002_004",0,60.6879606430584,0,0,0,0
"185",2386,"B03002_004",0,60.6879606430584,0,0,0,0
"186",2408,"B03002_004",0,0.462981950075922,0,0,0,0
"187",2491,"B03002_004",0,165.448328120965,0,0,0,0
"188",2492,"B03002_004",0,315.58269098062,0,0,0,0
"189",2493,"B03002_004",0,315.582690980725,0,0,0,0
"190",2501,"B03002_004",0,60.6879606430584,0,0,0,0
"191",2526,"B03002_004",0,0.370135873706198,0,0,0,0
"192",2527,"B03002_004",0,3.32257431784566,0,0,0,0
"193",2528,"B03002_004",0,5.21656061532979,0,0,0,0
"194",2529,"B03002_004",0,5.21656061532936,0,0,0,0
"195",2603,"B03002_004",0,878.311746480774,0,0,0,0
"196",2604,"B03002_004",0,622.346234377014,0,0,0,0
"197",2605,"B03002_004",0,695.331394777007,0,0,0,0
"198",2606,"B03002_004",0,840.722040597701,0,0,0,0
"199",2610,"B03002_004",0,136.048578468224,0,0,0,0
"200",2648,"B03002_004",0,5.21656061532936,0,0,0,0
"201",2649,"B03002_004",0,5.21656061532979,0,0,0,0
"202",2650,"B03002_004",0,5.21656061532936,0,0,0,0
"203",2651,"B03002_004",0,5.21656061532936,0,0,0,0
"204",2725,"B03002_004",0,558.98945580677,0,0,0,0
"205",2726,"B03002_004",0,640.193405925937,0,0,0,0
"206",2727,"B03002_004",0,883.285017835975,0,0,0,0
"207",2728,"B03002_004",0,990.313292539906,0,0,0,0
"208",2736,"B03002_004",0,394.631831724736,0,0,0,0
"209",2771,"B03002_004",0,5.21656061532892,0,0,0,0
"210",2772,"B03002_004",0,5.21656061532979,0,0,0,0
"211",2773,"B03002_004",0,5.21656061532936,0,0,0,0
"212",2774,"B03002_004",0,5.21656061532979,0,0,0,0
"213",2775,"B03002_004",0,5.21656061532936,0,0,0,0
"214",2847,"B03002_004",0,139.986491496492,0,0,0,0
"215",2848,"B03002_004",0,186.154808171499,0,0,0,0
"216",2849,"B03002_004",0,317.201271414553,0,0,0,0
"217",2850,"B03002_004",0,322.629065802555,0,0,0,0
"218",2851,"B03002_004",0,411.930894286403,0,0,0,0
"219",2892,"B03002_004",0,5.21656061532936,0,0,0,0
"220",2893,"B03002_004",0,5.21656061532979,0,0,0,0
"221",2894,"B03002_004",0,5.21656061532936,0,0,0,0
"222",2895,"B03002_004",0,5.21656061532936,0,0,0,0
"223",2896,"B03002_004",0,5.21656061532979,0,0,0,0
"224",2966,"B03002_004",0,65.0118703949202,0,0,0,0
"225",2967,"B03002_004",0,11.9194550972293,0,0,0,0
"226",2968,"B03002_004",0,11.9194550972273,0,0,0,0
"227",2969,"B03002_004",0,11.9194550972293,0,0,0,0
"228",2970,"B03002_004",0,11.9194550972273,0,0,0,0
"229",2971,"B03002_004",0,11.9194550972283,0,0,0,0
"230",2972,"B03002_004",0,11.9194550972263,0,0,0,0
"231",2973,"B03002_004",0,11.9194550972273,0,0,0,0
"232",2974,"B03002_004",0,11.9194550972293,0,0,0,0
"233",3015,"B03002_004",0,5.21656061532892,0,0,0,0
"234",3016,"B03002_004",0,5.21656061532979,0,0,0,0
"235",3017,"B03002_004",0,5.21656061532936,0,0,0,0
"236",3018,"B03002_004",0,5.21656061532979,0,0,0,0
"237",3019,"B03002_004",0,5.21656061532936,0,0,0,0
"238",3088,"B03002_004",0,108.938304455606,0,0,0,0
"239",3089,"B03002_004",0,11.9194550972293,0,0,0,0
"240",3090,"B03002_004",0,11.9194550972303,0,0,0,0
"241",3091,"B03002_004",0,11.9194550972263,0,0,0,0
"242",3092,"B03002_004",0,11.9194550972263,0,0,0,0
"243",3093,"B03002_004",0,11.9194550972303,0,0,0,0
"244",3094,"B03002_004",0,11.9194550972293,0,0,0,0
"245",3095,"B03002_004",0,11.9194550972273,0,0,0,0
"246",3096,"B03002_004",0,11.9194550972283,0,0,0,0
"247",3097,"B03002_004",0,11.9194550972263,0,0,0,0
"248",3140,"B03002_004",0,5.21656061532936,0,0,0,0
"249",3141,"B03002_004",0,5.21656061532936,0,0,0,0
"250",3142,"B03002_004",0,5.21656061532979,0,0,0,0
"251",3143,"B03002_004",0,5.21656061532936,0,0,0,0
"252",3144,"B03002_004",0,5.21656061532892,0,0,0,0
"253",3145,"B03002_004",0,5.21656061532979,0,0,0,0
"254",3212,"B03002_004",0,40.4690648988429,0,0,0,0
"255",3213,"B03002_004",0,11.9194550972293,0,0,0,0
"256",3214,"B03002_004",0,11.9194550972273,0,0,0,0
"257",3215,"B03002_004",0,11.9194550972293,0,0,0,0
"258",3216,"B03002_004",0,11.9194550972273,0,0,0,0
"259",3217,"B03002_004",0,11.9194550972283,0,0,0,0
"260",3218,"B03002_004",0,11.9194550972263,0,0,0,0
"261",3219,"B03002_004",0,11.9194550972273,0,0,0,0
"262",3220,"B03002_004",0,11.9194550972293,0,0,0,0
"263",3221,"B03002_004",0,11.9194550972273,0,0,0,0
"264",3265,"B03002_004",0,5.21656061532936,0,0,0,0
"265",3266,"B03002_004",0,5.21656061532979,0,0,0,0
"266",3267,"B03002_004",0,5.21656061532936,0,0,0,0
"267",3268,"B03002_004",0,5.21656061532936,0,0,0,0
"268",3270,"B03002_004",0,5.21656061532936,0,0,0,0
"269",3336,"B03002_004",0,64.92653168294,0,0,0,0
"270",3337,"B03002_004",0,30.8724774943284,0,0,0,0
"271",3338,"B03002_004",0,11.9194550972303,0,0,0,0
"272",3339,"B03002_004",0,11.9194550972263,0,0,0,0
"273",3340,"B03002_004",0,11.9194550972263,0,0,0,0
"274",3341,"B03002_004",0,11.9194550972303,0,0,0,0
"275",3342,"B03002_004",0,11.9194550972293,0,0,0,0
"276",3343,"B03002_004",0,11.9194550972273,0,0,0,0
"277",3344,"B03002_004",0,11.9194550972283,0,0,0,0
"278",3345,"B03002_004",0,11.9194550972263,0,0,0,0
"279",3392,"B03002_004",0,5.21656061532936,0,0,0,0
"280",3393,"B03002_004",0,5.21656061532979,0,0,0,0
"281",3394,"B03002_004",0,5.21656061532936,0,0,0,0
"282",3395,"B03002_004",0,5.21656061532892,0,0,0,0
"283",3463,"B03002_004",0,48.0757429833952,0,0,0,0
"284",3464,"B03002_004",0,31.7870922686384,0,0,0,0
"285",3465,"B03002_004",0,12.1268306206691,0,0,0,0
"286",3466,"B03002_004",0,11.9194550972293,0,0,0,0
"287",3467,"B03002_004",0,11.9194550972273,0,0,0,0
"288",3468,"B03002_004",0,11.9194550972283,0,0,0,0
"289",3469,"B03002_004",0,11.9194550972263,0,0,0,0
"290",3470,"B03002_004",0,11.9194550972273,0,0,0,0
"291",3471,"B03002_004",0,11.5873925269503,0,0,0,0
"292",3472,"B03002_004",0,11.0379233344004,0,0,0,0
"293",3488,"B03002_004",0,22.7304535743357,0,0,0,0
"294",3521,"B03002_004",0,5.21656061532979,0,0,0,0
"295",3522,"B03002_004",0,5.21656061532936,0,0,0,0
"296",3523,"B03002_004",0,5.21656061532936,0,0,0,0
"297",3524,"B03002_004",0,5.21656061532979,0,0,0,0
"298",3591,"B03002_004",0,68.7327977795109,0,0,0,0
"299",3592,"B03002_004",0,39.3868753485633,0,0,0,0
"300",3593,"B03002_004",0,39.3284101790533,0,0,0,0
"301",3594,"B03002_004",0,29.0990243762412,0,0,0,0
"302",3595,"B03002_004",0,16.8903880231243,0,0,0,0
"303",3596,"B03002_004",0,14.6306856793498,0,0,0,0
"304",3597,"B03002_004",0,11.9194550972293,0,0,0,0
"305",3598,"B03002_004",0,11.622825933172,0,0,0,0
"306",3599,"B03002_004",0,10.867467321483,0,0,0,0
"307",3600,"B03002_004",0,10.6543938756075,0,0,0,0
"308",3601,"B03002_004",0,10.654393875611,0,0,0,0
"309",3602,"B03002_004",0,10.6543938756066,0,0,0,0
"310",3603,"B03002_004",0,10.6543938756101,0,0,0,0
"311",3604,"B03002_004",0,10.6543938756075,0,0,0,0
"312",3605,"B03002_004",0,10.6543938756075,0,0,0,0
"313",3615,"B03002_004",0,22.7304535743357,0,0,0,0
"314",3616,"B03002_004",0,22.7304535743433,0,0,0,0
"315",3617,"B03002_004",0,22.7304535743414,0,0,0,0
"316",3651,"B03002_004",0,5.21656061532936,0,0,0,0
"317",3652,"B03002_004",0,5.21656061532979,0,0,0,0
"318",3653,"B03002_004",0,5.21656061532936,0,0,0,0
"319",3654,"B03002_004",0,5.21656061532892,0,0,0,0
"320",3721,"B03002_004",0,73.11883605644,0,0,0,0
"321",3722,"B03002_004",0,47.0591334931425,0,0,0,0
"322",3723,"B03002_004",0,39.3868753485633,0,0,0,0
"323",3724,"B03002_004",0,39.3868753485568,0,0,0,0
"324",3725,"B03002_004",0,39.3868753485633,0,0,0,0
"325",3726,"B03002_004",0,39.3262301929422,0,0,0,0
"326",3727,"B03002_004",0,37.2980348715128,0,0,0,0
"327",3728,"B03002_004",0,28.6833905025636,0,0,0,0
"328",3729,"B03002_004",0,10.863868043223,0,0,0,0
"329",3730,"B03002_004",0,10.6543938756101,0,0,0,0
"330",3731,"B03002_004",0,10.6543938756084,0,0,0,0
"331",3732,"B03002_004",0,10.6543938756092,0,0,0,0
"332",3733,"B03002_004",0,10.6543938756075,0,0,0,0
"333",3734,"B03002_004",0,10.654393875611,0,0,0,0
"334",3735,"B03002_004",0,10.6543938756066,0,0,0,0
"335",3736,"B03002_004",0,10.6543938756101,0,0,0,0
"336",3737,"B03002_004",0,10.6543938756075,0,0,0,0
"337",3745,"B03002_004",0,22.7304535743414,0,0,0,0
"338",3746,"B03002_004",0,22.7304535743376,0,0,0,0
"339",3747,"B03002_004",0,22.7304535743357,0,0,0,0
"340",3783,"B03002_004",0,5.21656061532979,0,0,0,0
"341",3784,"B03002_004",0,5.21656061532936,0,0,0,0
"342",3785,"B03002_004",0,5.21656061532936,0,0,0,0
"343",3786,"B03002_004",0,5.21656061532979,0,0,0,0
"344",3851,"B03002_004",0,73.1188360564217,0,0,0,0
"345",3852,"B03002_004",0,73.1188360564156,0,0,0,0
"346",3853,"B03002_004",0,65.7394231737868,0,0,0,0
"347",3854,"B03002_004",0,39.3868753485633,0,0,0,0
"348",3855,"B03002_004",0,39.3868753485666,0,0,0,0
"349",3856,"B03002_004",0,39.3868753485535,0,0,0,0
"350",3857,"B03002_004",0,39.3868753485535,0,0,0,0
"351",3858,"B03002_004",0,38.4823568351871,0,0,0,0
"352",3859,"B03002_004",0,21.202252488105,0,0,0,0
"353",3860,"B03002_004",0,16.0266941476226,0,0,0,0
"354",3861,"B03002_004",0,10.6543938756092,0,0,0,0
"355",3862,"B03002_004",0,10.6543938756075,0,0,0,0
"356",3863,"B03002_004",0,10.654393875611,0,0,0,0
"357",3864,"B03002_004",0,10.6543938756066,0,0,0,0
"358",3865,"B03002_004",0,10.6543938756101,0,0,0,0
"359",3866,"B03002_004",0,10.6543938756075,0,0,0,0
"360",3867,"B03002_004",0,10.6543938756075,0,0,0,0
"361",3868,"B03002_004",0,10.6543938756075,0,0,0,0
"362",3869,"B03002_004",0,10.6543938756101,0,0,0,0
"363",3877,"B03002_004",0,22.7304535743357,0,0,0,0
"364",3878,"B03002_004",0,22.7304535743433,0,0,0,0
"365",3879,"B03002_004",0,22.7304535743414,0,0,0,0
"366",3912,"B03002_004",0,962.731607709163,0,0,0,0
"367",3916,"B03002_004",0,5.21656061532936,0,0,0,0
"368",3917,"B03002_004",0,5.21656061532979,0,0,0,0
"369",3918,"B03002_004",0,5.21656061532936,0,0,0,0
"370",3919,"B03002_004",0,5.21656061532892,0,0,0,0
"371",3992,"B03002_004",0,11.2386770899952,0,0,0,0
"372",3993,"B03002_004",0,10.6543938756075,0,0,0,0
"373",3994,"B03002_004",0,10.6543938756084,0,0,0,0
"374",3995,"B03002_004",0,10.6543938756101,0,0,0,0
"375",3996,"B03002_004",0,10.6543938756084,0,0,0,0
"376",3997,"B03002_004",0,10.6543938756092,0,0,0,0
"377",3998,"B03002_004",0,10.6543938756075,0,0,0,0
"378",3999,"B03002_004",0,10.654393875611,0,0,0,0
"379",4000,"B03002_004",0,10.6543938756066,0,0,0,0
"380",4001,"B03002_004",0,10.6543938756101,0,0,0,0
"381",4002,"B03002_004",0,10.6543938756075,0,0,0,0
"382",4003,"B03002_004",0,10.6543938756075,0,0,0,0
"383",4004,"B03002_004",0,10.6543938756084,0,0,0,0
"384",4010,"B03002_004",0,22.7304535743414,0,0,0,0
"385",4011,"B03002_004",0,22.7304535743376,0,0,0,0
"386",4012,"B03002_004",0,22.7304535743357,0,0,0,0
"387",4047,"B03002_004",0,429.200989573033,0,0,0,0
"388",4052,"B03002_004",0,5.21656061532979,0,0,0,0
"389",4053,"B03002_004",0,5.21656061532936,0,0,0,0
"390",4054,"B03002_004",0,5.21656061532936,0,0,0,0
"391",4055,"B03002_004",0,5.21656061532979,0,0,0,0
"392",4129,"B03002_004",0,10.6543938756084,0,0,0,0
"393",4130,"B03002_004",0,10.6543938756092,0,0,0,0
"394",4131,"B03002_004",0,10.6543938756075,0,0,0,0
"395",4132,"B03002_004",0,10.654393875611,0,0,0,0
"396",4133,"B03002_004",0,10.6543938756066,0,0,0,0
"397",4134,"B03002_004",0,10.6543938756101,0,0,0,0
"398",4135,"B03002_004",0,10.6543938756075,0,0,0,0
"399",4136,"B03002_004",0,10.6543938756075,0,0,0,0
"400",4137,"B03002_004",0,10.6543938756075,0,0,0,0
"401",4138,"B03002_004",0,10.6543938756101,0,0,0,0
"402",4139,"B03002_004",0,10.6543938756101,0,0,0,0
"403",4144,"B03002_004",0,22.7304535743376,0,0,0,0
"404",4145,"B03002_004",0,22.7304535743357,0,0,0,0
"405",4146,"B03002_004",0,22.7304535743357,0,0,0,0
"406",4147,"B03002_004",0,22.7304535743433,0,0,0,0
"407",4148,"B03002_004",0,22.7304535743414,0,0,0,0
"408",4267,"B03002_004",0,19.4375591516607,0,0,0,0
"409",4268,"B03002_004",0,11.773751398216,0,0,0,0
"410",4269,"B03002_004",0,10.6543938756084,0,0,0,0
"411",4270,"B03002_004",0,10.6543938756092,0,0,0,0
"412",4271,"B03002_004",0,10.6543938756075,0,0,0,0
"413",4272,"B03002_004",0,10.654393875611,0,0,0,0
"414",4273,"B03002_004",0,10.6543938756066,0,0,0,0
"415",4277,"B03002_004",0,15.2921338416019,0,0,0,0
"416",4278,"B03002_004",0,14.6800860082776,0,0,0,0
"417",4280,"B03002_004",0,22.4181904495711,0,0,0,0
"418",4281,"B03002_004",0,22.7304535743357,0,0,0,0
"419",4282,"B03002_004",0,22.7304535743376,0,0,0,0
"420",4283,"B03002_004",0,22.7304535743414,0,0,0,0
"421",4284,"B03002_004",0,22.7304535743376,0,0,0,0
"422",4285,"B03002_004",0,22.7304535743357,0,0,0,0
"423",4286,"B03002_004",0,22.7304535743357,0,0,0,0
"424",4405,"B03002_004",0,1345.88130510099,0,0,0,0
"425",4406,"B03002_004",0,454.991530704102,0,0,0,0
"426",4407,"B03002_004",0,175.773218272183,0,0,0,0
"427",4408,"B03002_004",0,32.083749398687,0,0,0,0
"428",4409,"B03002_004",0,16.330882046861,0,0,0,0
"429",4410,"B03002_004",0,10.6543938756101,0,0,0,0
"430",4415,"B03002_004",0,15.3466464672841,0,0,0,0
"431",4416,"B03002_004",0,15.657782236806,0,0,0,0
"432",4417,"B03002_004",0,15.6577822368112,0,0,0,0
"433",4418,"B03002_004",0,16.5462357801305,0,0,0,0
"434",4419,"B03002_004",0,22.7304535743414,0,0,0,0
"435",4420,"B03002_004",0,22.7304535743376,0,0,0,0
"436",4421,"B03002_004",0,22.7304535743357,0,0,0,0
"437",4422,"B03002_004",0,22.7304535743357,0,0,0,0
"438",4423,"B03002_004",0,22.7304535743433,0,0,0,0
"439",4545,"B03002_004",0,856.282561780652,0,0,0,0
"440",4546,"B03002_004",0,877.499837752855,0,0,0,0
"441",4548,"B03002_004",0,82.4801553750678,0,0,0,0
"442",4549,"B03002_004",0,52.0992044165043,0,0,0,0
"443",4550,"B03002_004",0,36.4600973169755,0,0,0,0
"444",4555,"B03002_004",0,15.6577822368073,0,0,0,0
"445",4556,"B03002_004",0,15.6577822368099,0,0,0,0
"446",4557,"B03002_004",0,15.6577822368099,0,0,0,0
"447",4558,"B03002_004",0,20.3773755857008,0,0,0,0
"448",4559,"B03002_004",0,22.7304535743357,0,0,0,0
"449",4560,"B03002_004",0,22.7304535743376,0,0,0,0
"450",4561,"B03002_004",0,22.7304535743414,0,0,0,0
